id,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_4idth,serve_depth,return_2epth,p1_score_rate,y81,y82,y9,y10
6749,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.218,19.239,5,110,1,0,2,0,5.0436,3.8478,1.1,-1
6750,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:00:35,1,1,2,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.249,3.65,1,108,3,0,0,0,5.249,3.65,1.08,-1
6751,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:01:28,1,1,3,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.615,12.767,4,111,4,1,0,0.333333333,4.15375,3.19175,1.11,-0.333333333
6752,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:02:00,1,1,4,0,0,0,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.916,11.733,4,126,1,0,0,0.5,4.229,2.93325,1.26,0
6753,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:02:33,1,1,5,0,0,0,0,2,2,1,3,2,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,18.175,12.204,4,84,3,0,0,0.6,4.54375,3.051,0.84,0.2
6754,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:03:22,1,1,6,0,0,0,0,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22.935,18.55,5,119,3,1,2,0.5,4.587,3.71,1.19,0
6755,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:03:58,1,1,7,0,0,0,0,2,1,1,4,3,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.942,40.094,12,124,3,0,2,0.571428571,3.661833333,3.341166667,1.24,0.142857143
6756,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:04:53,1,1,8,0,0,0,0,2,2,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,17.421,16.192,5,87,1,0,0,0.5,3.4842,3.2384,0.87,0
6757,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:05:50,1,1,9,0,0,0,0,2,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.524,17.381,5,87,0,0,0,0.444444444,4.5048,3.4762,0.87,-0.111111111
6758,2023-wimbledon-1602,Jannik Sinner,Novak Djokovic,0:06:37,1,1,10,0,0,0,0,2,2,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.704,13.002,3,91,1,0,0,0.4,4.234666667,4.334,0.91,-0.2
