id,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_4idth,serve_depth,return_2epth,p1_score_rate,y81,y82,y9,y10
1973,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:00:00,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.36,17.9,8,104,2,0,0,1,2.545,2.2375,1.04,1
1974,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:00:41,1,1,2,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.846,12.162,1,110,2,1,0,0.5,9.846,12.162,1.1,0
1975,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:01:15,1,1,3,0,0,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.738,3.814,1,111,4,0,0,0.333333333,5.738,3.814,1.11,-0.333333333
1976,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:01:36,1,1,4,0,0,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9.868,7.26,0,111,1,1,0,0.5,#DIV/0!,#DIV/0!,1.11,0
1977,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:02:06,1,1,5,0,0,0,0,2,1,2,2,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.474,15.725,5,108,4,1,0,0.4,4.6948,3.145,1.08,-0.2
1978,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:02:38,1,1,6,0,0,0,0,2,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.644,17.28,5,103,4,0,0,0.333333333,2.9288,3.456,1.03,-0.333333333
1979,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:03:55,1,2,7,0,0,0,1,1,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,4.047,1,105,2,1,0,0.428571429,3.14,4.047,1.05,-0.142857143
1980,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:04:29,1,2,8,0,0,0,1,1,2,2,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.056,1.343,0,105,2,1,1,0.375,#DIV/0!,#DIV/0!,1.05,-0.25
1981,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:05:00,1,2,9,0,0,0,1,1,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.784,4.622,1,115,4,0,2,0.444444444,3.784,4.622,1.15,-0.111111111
1982,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:05:29,1,2,10,0,0,0,1,1,2,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.026,6.339,1,99,2,0,0,0.5,8.026,6.339,0.99,0
1983,2023-wimbledon-1309,Jannik Sinner,Quentin Halys,0:06:04,1,2,11,0,0,0,1,1,1,2,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.432,6.075,2,129,3,0,0,0.454545455,4.716,3.0375,1.29,-0.090909091
